t,Bandit,Reward,Regret,TrueMean,Algorithm
126,3,2.6473949325221704,0,4,ThompsonSampling
127,3,4.752360083191681,0,4,ThompsonSampling
128,3,5.769587531723456,0,4,ThompsonSampling
129,3,4.632418273215281,0,4,ThompsonSampling
130,3,4.441205737027315,0,4,ThompsonSampling
131,3,3.920272342334111,0,4,ThompsonSampling
132,3,3.2315419971279025,0,4,ThompsonSampling
133,3,4.233480457474255,0,4,ThompsonSampling
134,3,5.032283660377124,0,4,ThompsonSampling
135,3,3.989717955689499,0,4,ThompsonSampling
136,3,4.099869724987565,0,4,ThompsonSampling
137,3,4.884681817128435,0,4,ThompsonSampling
138,3,3.9782572758395247,0,4,ThompsonSampling
139,3,3.1654115093765913,0,4,ThompsonSampling
140,3,3.943833458559612,0,4,ThompsonSampling
141,3,3.8514092721873667,0,4,ThompsonSampling
142,3,5.291943876730161,0,4,ThompsonSampling
143,3,5.294842451597034,0,4,ThompsonSampling
144,3,3.09405117023776,0,4,ThompsonSampling
145,2,2.6959258832743394,1,3,ThompsonSampling
146,3,3.332471454174576,0,4,ThompsonSampling
147,3,4.391465099933868,0,4,ThompsonSampling
148,3,3.329651052364854,0,4,ThompsonSampling
149,3,2.4269154864177365,0,4,ThompsonSampling
150,3,3.596462874921106,0,4,ThompsonSampling
151,3,4.521361868624769,0,4,ThompsonSampling
152,3,4.435543302794242,0,4,ThompsonSampling
153,3,3.51929283761708,0,4,ThompsonSampling
154,3,2.8365132768914627,0,4,ThompsonSampling
155,3,3.6920602229024517,0,4,ThompsonSampling
156,3,3.5112678962751134,0,4,ThompsonSampling
157,3,4.944730848721557,0,4,ThompsonSampling
158,3,5.5131762157362445,0,4,ThompsonSampling
159,3,4.872037293646166,0,4,ThompsonSampling
160,3,2.4634656954657626,0,4,ThompsonSampling
161,3,3.8774074734191366,0,4,ThompsonSampling
162,3,3.8030083300084994,0,4,ThompsonSampling
163,3,2.9489998233926906,0,4,ThompsonSampling
164,3,3.8291558635889786,0,4,ThompsonSampling
165,3,2.856852022954093,0,4,ThompsonSampling
166,3,1.2252348273752065,0,4,ThompsonSampling
167,3,2.2142749232132655,0,4,ThompsonSampling
168,3,4.5225616367828145,0,4,ThompsonSampling
169,3,4.355387767337849,0,4,ThompsonSampling
170,3,1.99676347822041,0,4,ThompsonSampling
171,3,4.9533963271007355,0,4,ThompsonSampling
172,3,5.028797757909208,0,4,ThompsonSampling
173,3,5.82209915874735,0,4,ThompsonSampling
174,3,3.136693624046747,0,4,ThompsonSampling
175,3,4.166981539648575,0,4,ThompsonSampling
176,3,3.9918206662255917,0,4,ThompsonSampling
177,3,1.9217633801949394,0,4,ThompsonSampling
178,3,4.632037843724072,0,4,ThompsonSampling
179,3,5.458121938154987,0,4,ThompsonSampling
180,3,4.976625167261395,0,4,ThompsonSampling
181,3,5.145677905870072,0,4,ThompsonSampling
182,3,4.321008311074987,0,4,ThompsonSampling
183,3,4.0761900840184095,0,4,ThompsonSampling
184,3,5.069814106033462,0,4,ThompsonSampling
185,3,4.265183678411673,0,4,ThompsonSampling
186,3,2.6616606453539675,0,4,ThompsonSampling
187,3,3.092025401788538,0,4,ThompsonSampling
188,3,3.982234036549065,0,4,ThompsonSampling
189,3,4.751713175527135,0,4,ThompsonSampling
190,3,4.426904096311266,0,4,ThompsonSampling
191,3,3.3910321220836703,0,4,ThompsonSampling
192,3,3.6863155042456355,0,4,ThompsonSampling
193,3,5.045873344862183,0,4,ThompsonSampling
194,3,5.530560352280915,0,4,ThompsonSampling
195,3,6.556279546912461,0,4,ThompsonSampling
196,3,3.7517088944983747,0,4,ThompsonSampling
197,3,5.707771036837498,0,4,ThompsonSampling
198,3,4.266424282006841,0,4,ThompsonSampling
199,3,4.468649875952339,0,4,ThompsonSampling
