Bandit,Reward,Algorithm
0,1.5437431604812986,EpsilonGreedy
0,0.38457023040166405,EpsilonGreedy
0,0.905378998102028,EpsilonGreedy
0,0.07117189996606732,EpsilonGreedy
0,0.5173812035519954,EpsilonGreedy
0,1.1641648198407362,EpsilonGreedy
0,2.4623781203460173,EpsilonGreedy
0,2.538714967614598,EpsilonGreedy
0,-0.012831120334423796,EpsilonGreedy
0,1.314247332595274,EpsilonGreedy
0,2.465648768921554,EpsilonGreedy
0,0.7742236995134644,EpsilonGreedy
0,0.45561727547481734,EpsilonGreedy
0,1.110922589709866,EpsilonGreedy
0,0.399361310081195,EpsilonGreedy
0,0.7083062502067232,EpsilonGreedy
0,0.9865027752620661,EpsilonGreedy
0,-0.057710928955900354,EpsilonGreedy
0,1.8225449121031891,EpsilonGreedy
0,-0.22084364997102224,EpsilonGreedy
0,-0.3281860488984305,EpsilonGreedy
0,1.1968612358691235,EpsilonGreedy
0,1.7384665799954104,EpsilonGreedy
0,1.1713682811899706,EpsilonGreedy
0,0.8843517176117595,EpsilonGreedy
0,0.6988963044107113,EpsilonGreedy
0,0.5393612290402126,EpsilonGreedy
0,2.0571222262189157,EpsilonGreedy
0,1.324083969394795,EpsilonGreedy
0,0.6149177195836835,EpsilonGreedy
0,0.3230779996940413,EpsilonGreedy
2,3.6116762888408678,EpsilonGreedy
2,3.930584400771102,EpsilonGreedy
2,3.6777674096733417,EpsilonGreedy
2,3.6622845136190625,EpsilonGreedy
2,3.2411221625871294,EpsilonGreedy
2,2.7542523125729597,EpsilonGreedy
2,2.230332226333892,EpsilonGreedy
2,1.4258447130559453,EpsilonGreedy
2,3.6379529432248896,EpsilonGreedy
2,2.06623715908795,EpsilonGreedy
2,3.784208187653938,EpsilonGreedy
2,2.385124240582689,EpsilonGreedy
2,3.3328924404889295,EpsilonGreedy
2,2.940182736338331,EpsilonGreedy
2,3.961173766418355,EpsilonGreedy
2,3.297650448508347,EpsilonGreedy
2,1.9718842294124619,EpsilonGreedy
2,3.1357538294764864,EpsilonGreedy
2,3.6080896620009613,EpsilonGreedy
2,1.533032114820474,EpsilonGreedy
2,3.892629471506162,EpsilonGreedy
2,2.5852353655945337,EpsilonGreedy
2,1.6012591183941423,EpsilonGreedy
2,2.672374816721997,EpsilonGreedy
2,2.138401945751671,EpsilonGreedy
2,1.650610026766991,EpsilonGreedy
2,1.98092721463193,EpsilonGreedy
2,4.945115614486786,EpsilonGreedy
2,2.8466635424838596,EpsilonGreedy
2,2.516877321248707,EpsilonGreedy
2,2.4301716516015963,EpsilonGreedy
2,2.984516659988221,EpsilonGreedy
2,2.972623554414841,EpsilonGreedy
2,2.241672879481758,EpsilonGreedy
2,3.4574156487191425,EpsilonGreedy
2,2.935621949199033,EpsilonGreedy
2,3.3449023350447287,EpsilonGreedy
2,4.43351548728992,EpsilonGreedy
2,4.065793708549304,EpsilonGreedy
2,5.158728523363104,EpsilonGreedy
2,4.23177837671611,EpsilonGreedy
2,3.7278331141658674,EpsilonGreedy
2,2.3809306396450403,EpsilonGreedy
2,4.21805043775651,EpsilonGreedy
2,2.610541975696518,EpsilonGreedy
2,4.933839800928118,EpsilonGreedy
2,3.080970805944567,EpsilonGreedy
2,3.7181282798247106,EpsilonGreedy
2,2.04852824935196,EpsilonGreedy
2,3.4280128409894273,EpsilonGreedy
2,0.5303011349324027,EpsilonGreedy
2,2.162418608236886,EpsilonGreedy
2,3.6771860655820996,EpsilonGreedy
2,2.374383704767068,EpsilonGreedy
2,2.477538520467417,EpsilonGreedy
2,3.062824599733182,EpsilonGreedy
2,3.5015963653461726,EpsilonGreedy
2,3.964810582328435,EpsilonGreedy
2,1.935168847136994,EpsilonGreedy
2,3.9206667157130712,EpsilonGreedy
2,2.773277544450638,EpsilonGreedy
2,3.6530483110497607,EpsilonGreedy
2,4.1026874654627115,EpsilonGreedy
2,2.0146182028743125,EpsilonGreedy
2,1.906059590931526,EpsilonGreedy
2,2.99514305534897,EpsilonGreedy
2,2.616676693734097,EpsilonGreedy
2,3.867229498976444,EpsilonGreedy
2,3.9584138362132983,EpsilonGreedy
2,5.273345158017482,EpsilonGreedy
2,3.1469746504572162,EpsilonGreedy
2,2.9885565525302713,EpsilonGreedy
2,3.4133540876236452,EpsilonGreedy
2,4.3003451479965396,EpsilonGreedy
2,1.656476235932567,EpsilonGreedy
2,2.9953040053264406,EpsilonGreedy
2,1.4291880164723847,EpsilonGreedy
2,1.2167489378344762,EpsilonGreedy
2,2.7568655395929844,EpsilonGreedy
2,2.8723952057186253,EpsilonGreedy
2,3.3415908059487163,EpsilonGreedy
2,2.0504809548211416,EpsilonGreedy
2,2.4031026684372474,EpsilonGreedy
2,1.6585965020538356,EpsilonGreedy
2,1.3783053790565167,EpsilonGreedy
2,1.852280027175,EpsilonGreedy
2,4.389602828146591,EpsilonGreedy
2,3.8828376605093897,EpsilonGreedy
2,2.550695613904218,EpsilonGreedy
2,1.1981120309934397,EpsilonGreedy
2,3.4677170774981168,EpsilonGreedy
2,2.2670488649562768,EpsilonGreedy
2,3.195346472546973,EpsilonGreedy
2,2.4440551022253825,EpsilonGreedy
2,2.8722651715361143,EpsilonGreedy
2,1.439442927562731,EpsilonGreedy
2,5.000348089106104,EpsilonGreedy
2,3.149833716339598,EpsilonGreedy
2,3.1409073680713218,EpsilonGreedy
2,3.3544195851196625,EpsilonGreedy
2,1.1196874115474436,EpsilonGreedy
2,4.210398633136639,EpsilonGreedy
2,2.848764034507771,EpsilonGreedy
2,2.234490634192661,EpsilonGreedy
2,3.4223137616640646,EpsilonGreedy
2,1.6920857003306249,EpsilonGreedy
2,1.0094004504226362,EpsilonGreedy
2,4.781291077026367,EpsilonGreedy
2,2.3225843322852433,EpsilonGreedy
2,1.451171320175908,EpsilonGreedy
2,2.6568709358959017,EpsilonGreedy
2,3.1838555144095584,EpsilonGreedy
2,3.5778971350988344,EpsilonGreedy
2,4.655461625378921,EpsilonGreedy
2,2.5370745779363517,EpsilonGreedy
2,2.3199956658820575,EpsilonGreedy
2,2.736594155132727,EpsilonGreedy
2,2.450747092635698,EpsilonGreedy
2,4.096796254441404,EpsilonGreedy
2,2.6756045524326004,EpsilonGreedy
2,3.524609000630509,EpsilonGreedy
2,6.187033338072969,EpsilonGreedy
2,3.084163521007921,EpsilonGreedy
2,3.344068131402022,EpsilonGreedy
2,3.9262325428850335,EpsilonGreedy
2,1.9655976435143154,EpsilonGreedy
2,3.2042829420013286,EpsilonGreedy
2,4.137017418633458,EpsilonGreedy
2,3.4468901447740676,EpsilonGreedy
2,2.1169213415204666,EpsilonGreedy
2,2.300621951603518,EpsilonGreedy
2,1.456274597308104,EpsilonGreedy
2,4.116893440201679,EpsilonGreedy
2,1.875048262167143,EpsilonGreedy
2,4.281920380314202,EpsilonGreedy
2,1.9570386063971488,EpsilonGreedy
2,4.326471668319048,EpsilonGreedy
2,3.448648674052005,EpsilonGreedy
2,2.921268316332193,EpsilonGreedy
2,4.870423897815517,EpsilonGreedy
2,4.688017032368915,EpsilonGreedy
2,3.492141033936662,EpsilonGreedy
2,1.4725473741655888,EpsilonGreedy
2,3.7644782353257114,EpsilonGreedy
2,1.8888361872559023,EpsilonGreedy
2,3.632852437382711,EpsilonGreedy
2,0.7458413204823846,EpsilonGreedy
2,2.4103471433128343,EpsilonGreedy
2,2.7016987768362926,EpsilonGreedy
2,2.588709409340186,EpsilonGreedy
2,3.9840235445630903,EpsilonGreedy
2,1.6576871734900065,EpsilonGreedy
2,-0.364095526463311,EpsilonGreedy
2,4.123541781691516,EpsilonGreedy
2,5.143205188113887,EpsilonGreedy
2,2.657411131769354,EpsilonGreedy
2,3.2493145416219553,EpsilonGreedy
2,3.324518316374555,EpsilonGreedy
2,4.67529324966822,EpsilonGreedy
2,3.8889842942771535,EpsilonGreedy
2,3.496064233225875,EpsilonGreedy
2,1.5605384033662695,EpsilonGreedy
2,2.6165124738052383,EpsilonGreedy
2,3.0443505574990675,EpsilonGreedy
2,1.8238725220109289,EpsilonGreedy
2,3.289882811537126,EpsilonGreedy
2,2.812775043651186,EpsilonGreedy
2,2.8361347365370317,EpsilonGreedy
2,4.860778054119166,EpsilonGreedy
2,2.2082800213444207,EpsilonGreedy
2,1.8280231455495548,EpsilonGreedy
2,4.443747209685761,EpsilonGreedy
2,1.0850926303904778,EpsilonGreedy
2,3.5546927942236284,EpsilonGreedy
2,3.7331733647443524,EpsilonGreedy
2,2.4507418184589294,EpsilonGreedy
2,0.5408066379214516,EpsilonGreedy
2,4.3588166333327285,EpsilonGreedy
2,2.7136534838340802,EpsilonGreedy
2,2.7325993621166207,EpsilonGreedy
2,2.896158882570001,EpsilonGreedy
2,3.843574022780344,EpsilonGreedy
2,1.9336785217600314,EpsilonGreedy
2,2.2981865574723996,EpsilonGreedy
2,2.0328889453990335,EpsilonGreedy
2,4.4367546725495535,EpsilonGreedy
2,2.29830002299217,EpsilonGreedy
2,2.85671674128292,EpsilonGreedy
2,2.399395318750415,EpsilonGreedy
2,3.462724313641119,EpsilonGreedy
2,1.9591498467201038,EpsilonGreedy
2,2.201764781968467,EpsilonGreedy
2,1.6621551761916218,EpsilonGreedy
2,4.727747627434259,EpsilonGreedy
2,1.507398635584307,EpsilonGreedy
2,4.684684964605621,EpsilonGreedy
2,1.269684689575822,EpsilonGreedy
2,3.142050091917568,EpsilonGreedy
2,4.037158464944625,EpsilonGreedy
2,2.8920150356469416,EpsilonGreedy
2,4.527101259892477,EpsilonGreedy
2,2.3842141552322884,EpsilonGreedy
2,4.436183468077766,EpsilonGreedy
2,3.218683092276141,EpsilonGreedy
2,2.5156243080306964,EpsilonGreedy
2,3.1664295358031613,EpsilonGreedy
2,3.807555631605429,EpsilonGreedy
2,1.6492780470584936,EpsilonGreedy
2,2.3627644679241224,EpsilonGreedy
2,2.1278962345964407,EpsilonGreedy
2,2.3289760888493047,EpsilonGreedy
2,2.998364033355902,EpsilonGreedy
2,2.57396766143558,EpsilonGreedy
2,3.937072520315178,EpsilonGreedy
2,2.430673869451222,EpsilonGreedy
2,3.413712799952074,EpsilonGreedy
